regex,group,category,comments
npm ERR.* code ELIFECYCLE,dependency_issues,dependencies_conflict_error,
error.*InvocationError for command.*code 2,dependency_issues,buggy_dependency, TBD potentially flaky test?
go: command not found,dependency_issues,os_cmd_execution_error

(?m)wget \$(\n|.)*?wget: missing URL|cat \$.*\n.*?no such file or directory|error.* expected one argument|required env var .* is not set|^PLEASE SET .* IN CICD VARIABLE SECTION,environment_variables,misconfigured_env_variable,
env.*valueFrom: Invalid value: "",environment_variables,misconfigured_env_variable,https://github.com/kubernetes/kubernetes/issues/46861
ci_scripts/security_test.sh.*\n.*?invalid reference format|Environment is neither .* nor .*|error parsing reference.*\$.*invalid reference format,environment_variables,misconfigured_env_variable,(error.*invalid reference format) https://gitlab.tinaa.osc.tac.net/tinaa-platform/deployment/production-push-pipeline/-/jobs/141601 + docker pull failed with invalid ref format https://stackoverflow.com/questions/45682010/docker-invalid-reference-format

/bin/bash.* No such file or directory|ENOENT|FileNotFoundError,internal_repository_issues,repository_file_not_found,Include CI files or actual code dependencies.
could not lock config file .* Permission denied|directory failed.*due to a permissions problem|can't cd to .* no such file or directory,internal_repository_issues,repository_file_access_error,https://gitlab.com/gitlab-org/gitlab-runner/-/issues/37408 or drupal site installation failed

Release file for .* is not valid yet,internal_os_issues,apt_timezone_issue,https://askubuntu.com/questions/1096930/sudo-apt-update-error-release-file-is-not-yet-valid
sed. bad option in substitution expression,internal_os_issues,os_cmd_execution_error, TDB seems not intermittent

fatal: unable to access .*git.* (error. 500|Empty reply from server)|fatal.*expected.*packfile|error.* RPC failed.* HTTP 500 curl 22|error.*cannot lock ref .* is at .* but expected,transient_vcs_errors,git_transient_error, include git_server_error + git_cloning_error https://forum.gitlab.com/t/gitlab-runner-unreliable-when-cloning-repository/14810 + git_pull_error https://stackoverflow.com/questions/11796580/git-pull-error-error-remote-ref-is-at-but-expected

killed .* sonar-scanner,memory_issues,static_analysis_tool_oom_error,https://github.com/travis-ci/travis-ci/issues/6903
No space left on device,memory_issues,testing_device_oom_error,
error.*job failed.*exit code 137,memory_issues,container_oom_error,https://refine.dev/blog/kubernetes-exit-code-137/#meaning-and-implications-of-exit-code-137

requests.exceptions.JSONDecodeError. Expecting value(\n|.)*?short test summary info,flaky_test,flaky_test,flaky test https://stackoverflow.com/questions/46433492/sporadic-jsondecodeerror-during-api-request
AssertionError: expected call not found|TypeError.* cannot read propert.* of .*|HeadlessChrome.*Executed.*ERROR|Device .* is invalid or failed|Failing scenarios.*\n.*features,flaky_test,flaky_test, incorrect_datetime_check e.g. https://gitlab.tinaa.osc.tac.net/tinaa/netapps/ip-top-up/ipt-controller/-/jobs/319165 + ui_testing_issues rendering not done before test + dependent_resource_failed

UndefinedTable.* relation .* does not exist,database_issues,db_table_undefined,

exceptions.AMQPConnectionError,networking_issues,broker_connection_failure,
error.*get.*EOF|(error|fatal).*transfer closed with outstanding read data remaining|SSL_read: SSL_ERROR_SYSCALL.* errno 104|fatal: the remote end hung up unexpectedly|StreamLostError.*Transport indicated EOF|Connection broken.*IncompleteRead|(error|fatal).*connection reset by peer,networking_issues,connection_closed_reset_broken,broken reset closd
(error|failed).*Connection refused,networking_issues,connection_refused
Error.*Temporary failure in name resolution|error.*connect.* no route to host|error.* dial tcp: lookup .* on .* server misbehaving|error during connect.*lookup docker on .* no such host|Could not resolve host,networking_issues,host_resolution_failure, unknown host
curl.*35.*SSL_connect. SSL_ERROR_SYSCALL in connection,networking_issues,ssl_connection_error

timed out waiting for pod,limits_exceeded,runner_pod_waiting_timeout,
wait time.*exceeded|Job failed: execution took longer than .* seconds,limits_exceeded,job_execution_timeout,already identified by GitLab | error on the very last line of log
error.*gcloud\.auth.* refreshing .* current auth tokens|ERROR.*gcloud.*Max retries exceeded with url.*token,limits_exceeded,cloud_token_limit_exceeded,https://stackoverflow.com/questions/75455856/error-gcloud-auth-activate-service-account-there-was-a-problem-refreshing-you
TimeoutError: Operation timed out|.*Client\.Timeout exceeded while awaiting headers|[Get|Post] .*https.*audit.*tlabs.ca.* dial tcp: i/o timeout|TLS handshake timeout|read (operation|connection) timed out,limits_exceeded,remote_call_timeout
toomanyrequests: You have reached your pull rate limit,limits_exceeded,docker_pull_limit_reached,

x509.*certificate.*unknown authority|SSLCertVerificationError|ssl.*certificate verify failed,unauthorized_access,certificate_verification_failure, just retry

500 Server Error for http.*docker.*images,remote_resource_errors,container_registry_server_error
