Library,Language,Category
java.util.Date,Java,File Handling
com.ibm.db2.jcc.DB2ConnectionPool,Java,Database Management
bank_account,Python,Web Development
javax.xml.ws.RequestWrapper,Java,Web Development
react-hook-form,JavaScript,Web Development
java.util.Comparator,Java,Algorithms and Data Structures
com.ibm.bi.dml.runtime.instructions.cp.BooleanObject,Java,Mathematics and Numerics
openssl/sha.h,C,Security
javax.jws.WebParam,Java,Web Development
javax.servlet.http.HttpServletResponse,Java,Web Development
java.lang.reflect.*,Java,Code Analysis and Linting
junitparser,Python,Testing
random,Python,Mathematics and Numerics
logger_macros.h,C++,Logging and Monitoring
org.springframework.vault.support.VaultResponse,Java,Security
java.sql.Statement,Java,Database Management
com.amazonaws.services.lambda.runtime.Context,Java,Web Development
com.ibm.maximo.technician.setupdata.SetupData.LocAssetStatus,Java,Web Development
openpyxl,Python,File Handling
java.nio.channels.DatagramChannel,Java,Networking and Messaging
base64,Python,Data Serialization
rxjs/operators,JavaScript,Web Development
webbrowser,Python,Web Development
org.springframework.context.ApplicationListener,Java,Web Development
../services/storage/storage.model,TypeScript,Web Development
com.ibm.wfm.utils.mappers.annotations.MappedField,Java,Web Development
@angular/router,TypeScript,Web Development
rxjs,JavaScript,Web Development
ibm.maximo.optimization.individual.model.AlternativeResource,Java,Web Development
time.h,C,File Handling
org.apache.http.client.methods.HttpPatch,Java,Web Development
javax.ws.rs.WebApplicationException,Java,Web Development
org.apache.thrift.transport.TSocket,Java,Networking and Messaging
std::io,Rust,File Handling
jakarta.ws.rs.POST,Java,Web Development
pyarrow,Python,Data Serialization
api,Python,Web Development
java.nio.file.StandardOpenOption,Java,File Handling
com.ibm.bi.dml.runtime.matrix.MatrixCharacteristics,Java,Mathematics and Numerics
java.sql.PreparedStatement,Java,Database Management
java.lang.instrument.*,Java,Code Analysis and Linting
org.apache.http.impl.client.CloseableHttpClient,Java,Networking and Messaging
java.nio.file.attribute.PosixFileAttributeView,Java,File Handling
my_module,Python,Algorithms and Data Structures
com.ibm.zos.net.ftp.FTPClientErrorException,Java,Networking and Messaging
org.testng.annotations.Factory,Java,Testing
formik,JavaScript,Web Development
org.testng.annotations.AfterTest,Java,Testing
java.time.ZoneId,Java,File Handling
java.io.FilenameFilter,Java,File Handling
@angular/core,TypeScript,Web Development
com.ibm.maximo.technician.setupdata.SetupData,Java,Web Development
dpEventLogMacro.h,C++,Logging and Monitoring
../models/login-user.model,TypeScript,Web Development
charconv,C++,File Handling
java.util.LinkedHashSet,Java,Algorithms and Data Structures
io.quarkus.runtime.annotations.RegisterForReflection,Java,Code Analysis and Linting
java.nio.ByteBuffer,Java,File Handling
@carbon/ibm-security,JavaScript,Security
org.testcontainers.containers.Network,Java,Networking and Messaging
com.ibm.cloud.functions.annotation.Function,Java,Web Development
sqlalchemy,Python,Database Management
iostream,C++,File Handling
platform,Python,System Information
com.ibm.replication.model.ChangeLog,Java,Web Development
com.ibm.zos.net.ftp.FTPClientProcessKillException,Java,Networking and Messaging
System.Collections.Specialized,C#,Algorithms and Data Structures
javax.servlet.ServletResponse,Java,Web Development
math.h,C,Mathematics and Numerics
multiscanner,Python,Security
resolv.h,C++,Networking and Messaging
com.ibm.services.tools.marketplace.model.vo.User,Java,Web Development
com.ibm.cloud.objectstorage.services.s3.model.ListObjectsRequest,Scala,Networking and Messaging
react-bootstrap,JavaScript,Graphical User Interface Design
io.opentelemetry.api.trace.Span,Java,Logging and Monitoring
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticResultParameter.ResultParameterKey,Java,Data Analysis
tabulate,Python,Data Analysis
org.eclipse.jdt.core.dom.VariableDeclarationStatement,Java,Code Analysis and Linting
enum,Python,Algorithms and Data Structures
cdm_box.H,C++,File Handling
react-router-dom,JavaScript,Web Development
webdriver_manager,Python,Testing
org.jdom2.input.SAXBuilder,Java,File Handling
ibm-watson/auth,JavaScript,Web Development
onepassword,Python,Security
updates,Python,Web Development
com.ibm.wcaz.testing.evaluators.exceptions.TopLevelLocalVariablesTypeMismatchException,Java,Code Analysis and Linting
org.springframework.data.jpa.repository.JpaRepository,Java,Database Management
IPython,Python,Interactive Computing
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.LinkNotificationRequest,Java,Networking and Messaging
org.mockito.Mock,Java,Testing
org.apache.iceberg.Schema,Java,Data Serialization
paramiko,Python,Networking and Messaging
File::Slurp,Perl,File Handling
com.google.gson.annotations.SerializedName,Java,Data Serialization
org.eclipse.jdt.core.dom.VariableDeclarationFragment,Java,Code Analysis and Linting
@/utils/enrichments.utils,JavaScript,Web Development
javax.xml.stream.XMLStreamReader,Java,File Handling
dev.galasa.core.manager.Logger,Java,Logging and Monitoring
org.apache.commons.lang.StringUtils,Java,Utilities
users,Python,Database Management
org.apache.hadoop.fs.Path,Java,File Handling
psdi.util.MXSession,Java,Web Development
textwrap,Python,File Handling
sqlenv.h,C,Database Management
com.ibm.services.tools.marketplace.search.model.FilterFactory,Java,Data Analysis
pgvector,Python,Machine Learning
io.openliberty.jpa.data.tests.models.Reciept,Java,Database Management
com.udacity.jdnd.course3.critter.entity.Pet,Java,Web Development
org.apache.hadoop.conf.Configuration,Java,Configuration Management
org.mockito.InjectMocks,Java,Testing
org.jsoup.select.Elements,Java,Web Scraping
com.ibm.eicore.boi.dto.ItemStructureEngDto,Java,Data Serialization
com.q1labs.semsources.sources.estreamer.message.MessageFactory,Java,Messaging
dask,Python,Data Analysis
com.ibm.rdm.fronting.server.common.reqif.SpecObject,Java,Data Serialization
psdi.security.ProfileService,Java,Security
MakeApiCall,Python,Networking and Messaging
com.samsung.sec.dexter.eclipse.ui.view.ContainerPanel,Java,Graphical User Interface Design
@carbon/charts,JavaScript,Visualization
javax.xml.namespace.QName,Java,File Handling
com.yantra.yfc.util.YFCException,Java,Error Handling
java.util.regex.Matcher,Java,Algorithms and Data Structures
xlookup,Python,Utilities
org.eclipse.jdt.core.dom.ASTNode,Java,Code Analysis and Linting
org.apache.arrow.vector.ipc.ArrowFileWriter,Java,Data Serialization
com.q1labs.frameworks.core.FrameworksContext,Java,Configuration Management
uvicorn,Python,Web Development
com.ibm.services.tools.marketplace.model.logic.SavedSearch,Java,Data Analysis
licence_org_tier,Python,Web Development
carbon-components-react,JavaScript,Graphical User Interface Design
com.ibm.services.tools.marketplace.search.model.Filter,Java,Data Analysis
com.ibm.grc.resmgr.repository.DataPersistenceManager,Java,Database Management
bitmath,Python,Mathematics and Numerics
sys/types.h,C++,File Handling
java.math.MathContext,Java,Mathematics and Numerics
threading,Python,Concurrency
org.jdom2.output.XMLOutputter,Java,File Handling
java.util.stream.Stream,Java,Algorithms and Data Structures
WatsonxAiMlVml_v1,TypeScript,Machine Learning
flutter/material.dart;,Dart,Graphical User Interface Design
com.informatica.powercenter.SchedulerServiceConstants.OperationType,Java,Scheduling and Concurrency
callbackCommon.c,C,Algorithms and Data Structures
com.samsung.sec.dexter.eclipse.ui.view.CodeMetricsView,Java,Graphical User Interface Design
com.samsung.sec.dexter.eclipse.ui.view.SourceCodeView,Java,Graphical User Interface Design
synthpop::{Population,Rust,Data Analysis
org.apache.logging.log4j.Marker,Java,Logging and Monitoring
com.saa.auth.dao.AuthorityDAO,Java,Security
java.security.MessageDigest,Java,Security
com.ibm.services.tools.marketplace.search.model.SearchEngineRequest,Java,Data Analysis
org.apache.arrow.vector.types.pojo.Field,Java,Data Serialization
javax.persistence.Entity,Java,Database Management
std::env,Rust,Configuration Management
dev.galasa.zos3270.spi.NetworkException,Java,Error Handling
psdi.util.MXApplicationException,Java,Error Handling
com.ibm.eicore.boi.service.ItemEngRevService,Java,Data Serialization
user,Python,File Handling
com.ibm.maximo.automation.mobile.api.json.TkSrvAd,Java,Data Serialization
org.eclipse.jdt.core.dom.VariableDeclaration,Java,Code Analysis and Linting
tqdm,Python,Utilities
com.ibm.component.BaseComponent,Java,Utilities
react-window,JavaScript,Graphical User Interface Design
maximo,Python,Web Development
./IsTouch,JavaScript,Utilities
kaleido,Python,Visualization
trimesh,Python,3D Modeling
org.apache.hadoop.fs.FileSystem,Java,File Handling
../bin/validators.js,JavaScript,Utilities
win32com,Python,Networking and Messaging
org.apache.axiom.om.OMNamespace,Java,Data Serialization
java.time.LocalTime,Java,Time Management
psdi.workflow.WorkflowDirector,Java,Workflow Management
colbert,Python,Machine Learning
org.openqa.selenium.support.ui.ExpectedConditions,Java,Testing
pyjokes,Python,Utilities
exceptions,Python,Error Handling
ibm_boto3,Python,Networking and Messaging
bottle,Python,Web Development
ibm-watson/kubernetes-service/v1,JavaScript,Web Development
secrets,Python,Security
dump_utils,Python,Utilities
strict,Perl,Code Analysis and Linting
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.ListLinkedNotificationsRequest,Java,Networking and Messaging
com.ibm.cloud.objectstorage.services.s3.AmazonS3ClientBuilder,Scala,Networking and Messaging
java.util.stream.Collectors,Java,Algorithms and Data Structures
com.ibm.cloud.cloudant.v1.Cloudant,Java,Database Management
ncclient,Python,Networking and Messaging
com.ibm.maximo.servicerequest.page.GraphitePage.GPLocators,Java,Web Development
com.ibm.rdm.fronting.server.common.XmlNamespaces,Java,Configuration Management
streamsets,Python,Data Pipeline
psdi.mbo.MboServerInterface,Java,Database Management
org.springframework.kafka.test.context.EmbeddedKafka,Java,Messaging
com.ibm.eicore.std.dto.StandardNodeDto,Java,Data Serialization
com.ibm.services.tools.marketplace.BCSMarketplaceConstants,Java,Configuration Management
gi,Python,Graphical User Interface Design
java.io.BufferedInputStream,Java,File Handling
Windows.h,C++,File Handling
com.ibm.maximo.servicerequest.testcases.TestSuite,Java,Testing
javax.annotation.PostConstruct,Java,Configuration Management
ldap,Python,Networking and Messaging
set,C++,Data Structures
functional,C++,Utilities
../../create/store/createDualControlRequestSlice,JavaScript,Utilities
javax.xml.soap.SOAPElement,Java,Web Services
tasks.factories.DPFactory,Java,Utilities
serde::{Deserialize,Rust,Data Serialization
std::mem,Rust,Memory Management
System.Collections,C#,Data Structures
com.ibm.services.tools.marketplace.model.dao.ManageAssignmentsDAO,Java,Data Analysis
com.ibm.clearinghouse.data.model.DocType,Java,Database Management
com.ibm.eicore.boi.dto.ItemEngRevDto,Java,Data Serialization
org.apache.commons.lang3.tuple.Triple,Java,Data Structures
java.time.format.DateTimeParseException,Java,Error Handling
javax.ws.rs.container.ContainerRequestContext,Java,Web Services
ast,Python,Code Analysis and Linting
net.iss.mss.core.services.entity.customer.Customer,Java,Web Development
com.google.common.annotations.*,Java,Utilities
com.ibm.json.java.JSONArray,Java,Data Serialization
datatypes.annotations.dp.DPVersionInfo,Java,Data Analysis
Getopt::Std,Perl,Utilities
com.ibm.rdm.monitoring.counter.ICounter.Unit,Java,Data Analysis
psdi.test.FastUnitTestBase,Java,Testing
io.openliberty.jpa.data.tests.models.Rating,Java,Data Serialization
java.time.ZonedDateTime,Java,Time Management
org.springframework.boot.test.autoconfigure.orm.jpa.DataJpaTest,Java,Testing
react-dom,JavaScript,Graphical User Interface Design
datatypes.velox.objects.VeloxCatalog,Java,Data Serialization
ibm_watsonx_ai,Python,Artificial Intelligence
br.com.bb.juridico.api.v1.dto.RegistroParsedDto,Java,Data Serialization
../saveImageQue,TypeScript,Utilities
com.ibm.services.tools.marketplace.model.vo.SavedSearchVO,Java,Data Analysis
java.net.URL,Java,Networking and Messaging
org.w3c.dom.NodeList,Java,Data Serialization
io.openliberty.jpa.data.tests.models.Item,Java,Database Management
psdi.webclient.system.controller.SessionContext,Java,Web Development
spacy_llm,Python,Natural Language Processing
psdi.mbo.MboSet,Java,Database Management
sqludf.h,C,Database Management
java.sql.DriverManager,Java,Database Management
log::{debug,Rust,Logging and Monitoring
org.apache.commons.lang3.StringUtils,Java,Algorithms and Data Structures
sqlite3,Python,Database Management
bdd.common.ScenarioContext,Java,Testing
forum,Python,Web Development
tasks.validation.Verify,Java,Testing
termcolor,Python,Logging and Monitoring
com.ibm.rdm.fronting.server.services.types.IProjectTypeSystem,Java,Code Analysis and Linting
./fetchLocalBuildInfo,JavaScript,File Handling
datetime,Python,Date and Time Handling
io.vavr.control.Try,Java,Error Handling
django,Python,Web Development
com.ibm.services.tools.marketplace.wonderland.viewmodel.MyProfessionalsViewModel,Java,Web Development
io.opentelemetry.context.Scope,Java,Monitoring
output,Python,File Handling
com.ibm.wcaz.higher.kind.Reader,Java,File Handling
com.ibm.eicore.framework.service.MessageSourceService,Java,Networking and Messaging
java.util.Locale,Java,Internationalization
cdm.H,C++,Algorithms and Data Structures
java,Python,Programming Languages
pyqtgraph,Python,Graphical User Interface Design
org.mockito.MockitoAnnotations,Java,Testing
org.apache.poi.xssf.usermodel.XSSFRow,Java,File Handling
dev.galasa.zos3270.spi.ScreenNotFoundException,Java,Error Handling
print_it_for_query.h,C++,File Handling
org.jdom2.Element,Java,Data Serialization
git,Python,Version Control
minio,Python,File Handling
net.iss.mss.services.common.ServiceException,Java,Error Handling
appium,Python,Testing
io.openliberty.jpa.data.tests.models.NaturalNumber,Java,Mathematics and Numerics
com.q1labs.semsources.sources.estreamer.message.errormsg.ErrorMessage,Java,Logging and Monitoring
org.springframework.web.bind.annotation.RequestMethod,Java,Web Development
spacy,Python,Natural Language Processing
System.Data,C#,Database Management
tasks.validation.AssertEx,Java,Testing
com.google.common.base.Strings,Java,Algorithms and Data Structures
java.math.BigDecimal,Java,Mathematics and Numerics
org.springframework.http.MediaType,Java,Web Development
org.apache.logging.log4j.Level,Java,Logging and Monitoring
pytest_testrail,Python,Testing
k8s,Python,Container Orchestration
unistd.h,C,File Handling
io.openliberty.jpa.data.tests.models.Line.Point,Java,Mathematics and Numerics
pytorch_lightning,Python,Machine Learning
org.eclipse.jdt.core.dom.VariableDeclarationExpression,Java,Code Analysis and Linting
com.fasterxml.jackson.databind.deser.std.StdDeserializer,Java,Data Serialization
model_information,Python,Machine Learning
@ibm-maximo/boomerang.utils,JavaScript,Utility Libraries
Metastore.h,C++,File Handling
struct,Python,Data Structures
std::ffi::{CStr,Rust,Data Serialization
com.q1labs.semsources.sources.estreamer.message.datamsg.EventDataMessage,Java,Data Serialization
com.ibm.eicore.boi.dto.ItemMfgRevXmlDto,Java,Data Serialization
br.com.bb.juridico.api.v1.dto.DocDto,Java,Data Serialization
com.samsung.sec.dexter.core.config.DexterConfig,Java,Code Analysis and Linting
java.time.Instant,Java,Date and Time Handling
javax.xml.soap.SOAPPart,Java,Networking and Messaging
com.vmturbo.system.notifications.SystemNotificationsServiceOuterClass.LinkNotificationResponse,Java,Networking and Messaging
org.apache.http.impl.client.HttpClientBuilder,Java,Networking and Messaging
com.ibm.eicore.common.enums.GeneralItemType,Java,Data Serialization
com.vmturbo.common.protobuf.workflow.WorkflowDTO.FetchWorkflowResponse,Java,Data Serialization
org.springframework.stereotype.Service,Java,Web Development
kafka,Python,Networking and Messaging
com.ibm.ecm.extension.PluginLogger,Java,Logging and Monitoring
org.springframework.boot.test.context.SpringBootTest,Java,Testing
java.awt.*,Java,Graphical User Interface Design
lombok.Data,Java,Code Generation
org.apache.commons.csv.CSVFormat,Java,File Handling
com.ibm.maximo.servicerequest.page.ServiceRequestsPage,Java,Web Development
img2pdf,Python,File Handling
org.apache.http.util.EntityUtils,Java,Networking and Messaging
ibm_watson_studio_lib,Python,Machine Learning
psdi.util.logging.MXLoggerFactory,Java,Logging and Monitoring
javax.xml.soap.SOAPFactory,Java,Networking and Messaging
com.ibm.osr.util.OSRCommonUtil,Java,Utility Libraries
java.util.Optional,Java,Algorithms and Data Structures
types.h,C++,File Handling
turtle,Python,Graphical User Interface Design
./page,JavaScript,Web Development
com.ibm.rdm.fronting.server.services.reqif.diagnostics.ReqIFDiagnosticOperation,Java,Code Analysis and Linting
net.iss.mss.ai.client.qradarRest.arg.QradarUpdateActions,Java,Security
io.openliberty.jpa.data.tests.models.City,Java,Data Serialization
org.apache.axiom.om.OMDocument,Java,Data Serialization
com.yantra.interop.japi.YIFApi,Java,Networking and Messaging
pyanp,Python,Graph Analysis
java.util.HashSet,Java,Algorithms and Data Structures
javax.servlet.http.HttpSession,Java,Web Development
java.security.SecureRandom,Java,Security
@testing-library/react,JavaScript,Testing
optional,C++,Algorithms and Data Structures
./commands.mjs,JavaScript,Utility Libraries
string,C++,Algorithms and Data Structures
bucket,Python,Data Structures
datatypes.annotations.velox.VeloxDraftProduct,Java,Data Serialization
../../src/models/requests/UserInfoAdapterRequest,TypeScript,Web Development
com.ibm.services.tools.marketplace.wonderland.viewmodel.LabelViewModel,Java,Web Development
application.dto.DeviceTypeDto,Java,Data Serialization
com.ibm.eicore.boi.service.ItemService,Java,Web Development
org.apache.arrow.flight.*,Java,Networking and Messaging
io.openliberty.jpa.data.tests.models.Business,Java,Data Serialization
shutil,Python,File Handling
com.ibm.maximo.servicerequest.framework.ServiceRequestTest,Java,Testing
../../utils/query.utils,JavaScript,Utility Libraries
http,Python,Networking and Messaging
io.grpc.Status,Java,Networking and Messaging
com.google.common.collect.ImmutableSet,Java,Algorithms and Data Structures
Purger.h,C++,File Handling
io.openliberty.jpa.data.tests.models.Prime,Java,Mathematics and Numerics
java.time.LocalDate,Java,Date and Time Handling
com.ibm.eicore.common.dto.ApplicationMessageDto,Java,Networking and Messaging
org.apache.axis2.client.Options,Java,Networking and Messaging
com.ibm.rdm.fronting.server.common.reqif.Identifiable,Java,Data Serialization
flask,Python,Web Development
pickle,Python,Data Serialization
datatypes.annotations.velox.VeloxInfo,Java,Data Serialization
com.ibm.rdm.fronting.server.services.vvc.QueryScopeParameters,Java,Networking and Messaging
io_data_functions,Python,Utility Libraries
react-testing-library,JavaScript,Testing
datatypes.annotations.velox.VeloxApiInfo,Java,Data Serialization
'dotenv/config,TypeScript,Configuration Management
com.fasterxml.jackson.core.JsonProcessingException,Java,Data Serialization
metadata_internal.h,C++,File Handling
vuex,JavaScript,State Management
sinon-chai,JavaScript,Testing
./helper,JavaScript,Utility Libraries
jakarta.persistence.PersistenceException,Java,Database Management
org.openqa.selenium.chrome.ChromeDriver,Java,Testing
com.vodafone.cbox.logdigger.entities.FileToProcess,Java,Logging and Monitoring
semver,Python,Version Control
app,Python,Web Development
org.json.JSONObject,Java,Data Serialization
cstring,C++,Algorithms and Data Structures
psdi.mbo.MboSetInfo,Java,Data Structures
org.apache.poi.xssf.usermodel.XSSFSheet,Java,File Handling
com.q1labs.semsources.sources.estreamer.exception.DataMessageRecordTypeNotSupportedException,Java,Logging and Monitoring
com.yantra.yfc.dom.YFCElement,Java,Data Serialization
org.apache.velocity.VelocityContext,Java,Data Serialization
datatypes.annotations.velox.VeloxCMCInfo,Java,Data Serialization
com.informatica.powercenter.domain.table.TableInfo,Java,Database Management
chai,JavaScript,Testing
fastapi,Python,Web Development
anyhow::Result,Rust,Error Handling
org.junit.Ignore,Java,Testing
jakarta.persistence.PersistenceContext,Java,Database Management
com.ibm.services.tools.marketplace.search.model.SearchEngineResponse,Java,Web Development
select,Python,File Handling
langchain_huggingface,Python,Machine Learning
wikipedia,Python,Web Development
com.q1labs.frameworks.logging.ILogger,Java,Logging and Monitoring
org.testng.annotations.Parameters,Java,Testing
io.openliberty.jpa.data.tests.models.Product,Java,Data Serialization
lwgw_manifest::{manifest::Manifest,Rust,Data Serialization
datatypes.velox.objects.VeloxConsumerOrganization,Java,Data Serialization
org.apache.http.client.HttpClient,Java,Networking and Messaging
java.util.Objects,Java,Algorithms and Data Structures
org.junit.jupiter.api.AfterAll,Java,Testing
java.sql.SQLException,Java,Database Management
javax.xml.soap.SOAPMessage,Java,Networking and Messaging
smtplib,Python,Networking and Messaging
../data_transfer_objects/exampleDTO.js,JavaScript,Data Serialization
PyQt5,Python,Graphical User Interface Design
portal,Python,Web Development
org.mockito.Mockito,Java,Testing
com.q1labs.semsources.sources.estreamer.message.extendedrequestmsg.StreamingServiceRequest,Java,Networking and Messaging
lombok.AllArgsConstructor,Java,Code Generation
in-stores/navigation/urlParameterResets,TypeScript,Web Development
com.fasterxml.jackson.core.JsonParseException,Java,Data Serialization
javax.servlet.annotation.WebServlet,Java,Web Development
LLM_Driver_Functions,Python,Machine Learning
Components/Page,JavaScript,Web Development
langsmith,Python,Machine Learning
com.ibm.services.tools.marketplace.wonderland.model.logic.MyProfessionalsLogicBean,Java,Web Development
org.springframework.context.annotation.Scope,Java,Web Development
in-services/util/function,TypeScript,Utility Libraries
rest_framework,Python,Web Development
stream,TypeScript,Networking and Messaging
datatypes.annotations.velox.Application,Java,Data Serialization
com.yantra.shared.ycp.YFSContext,Java,Networking and Messaging
net.iss.mss.ai.alerting.entity.GlassCaseObject,Java,Monitoring
getpass,Python,Security
com.ibm.eicore.boi.dto.DerivedItemEngRelationDto,Java,Data Serialization
micrograd,Python,Machine Learning
../instance-service.js,JavaScript,Web Development
com.ibm.wcaz.testing.evaluators.exceptions.TopLevelLocalVariablesMismatchException,Java,Code Analysis and Linting
org.apache.velocity.app.VelocityEngine,Java,Web Development
java.io.EOFException,Java,Error Handling
ibm_cloud_sdk_core,Python,Cloud SDK
hvac,Python,Security
RPi,Python,Hardware Integration
java.sql.Connection,Java,Database Management
io.opentelemetry.api.GlobalOpenTelemetry,Java,Monitoring
flask_jwt_extended,Python,Security
org.springframework.test.web.servlet.MockMvc,Java,Testing
slack,Python,Networking and Messaging
com.ibm.rdm.fronting.server.services.uid.AlternateIDService,Java,Networking and Messaging
java.util.regex.Pattern,Java,Algorithms and Data Structures
db2ApiDf.h,C,Database Management
pptx,Python,File Handling
net.iss.mss.util.*,Java,Utility Libraries
com.ibm.rdm.fronting.server.services.uid.IAlternateIDImportMapping,Java,Networking and Messaging
lodash,TypeScript,Utility Libraries
bdd.airlineService.AirlineServicesConstants,Java,Networking and Messaging
tasks.velox.VeloxOrganizationRestManager,Java,Scheduling and Concurrency
java.util.stream.Collector,Java,Algorithms and Data Structures
xml,Python,File Handling
jni.h,C++,File Handling
clap::{Parser,Rust,Utility Libraries
javax.net.ssl.SSLHandshakeException,Java,Security
fcntl.h,C++,File Handling
javax.naming.Context,Java,Networking and Messaging
rocksdb/cloud/cloud_storage_provider.h,C++,Database Management
kubernetes,Python,Container Orchestration
lombok.Getter,Java,Code Generation
com.revature.models.Passenger,Java,Data Serialization
javax.xml.rpc.handler.soap.SOAPMessageContext,Java,Networking and Messaging
Imager,Perl,Image Processing
lib,Python,Utility Libraries
@material-ui/core,JavaScript,Graphical User Interface Design
com.udacity.jdnd.course3.critter.entity.Customer,Java,Data Serialization
pymilvus,Python,Database Management
org.apache.poi.ss.usermodel.Cell,Java,File Handling
javax.ws.rs.container.ContainerRequestFilter,Java,Networking and Messaging
plotly,Python,Graphical User Interface Design
@vue/test-utils,JavaScript,Testing
io.openliberty.jpa.data.tests.models.DemographicInfo,Java,Data Serialization
org.w3c.dom.Document,Java,Data Serialization
com.ibm.services.tools.marketplace.wonderland.viewmodel.MessageViewModel,Java,Web Development
io.openliberty.jpa.data.tests.models.Rebate.Status,Java,Data Serialization
psycopg2,Python,Database Management
org.apache.iceberg.types.Types,Java,Data Serialization
sys/shm.h,C,File Handling
org.apache.commons.csv.QuoteMode,Java,File Handling
org.apache.arrow.vector.BigIntVector,Java,Data Serialization
java.util.ResourceBundle,Java,Internationalization
com.ibm.rdm.monitoring.counter.LongCounter,Java,Logging and Monitoring
ruamel,Python,Data Serialization
@ant-design/icons,JavaScript,Graphical User Interface Design
Data::Dumper,Perl,Data Serialization
javax.persistence.GenerationType,Java,Database Management
io.openliberty.jpa.data.tests.models.Account,Java,Data Serialization
cwctype,C++,Text Processing
javax.servlet.http.Cookie,Java,Web Development
com.vmturbo.system.notifications.SystemNotificationsServiceGrpc.SystemNotificationsServiceImplBase,Java,Networking and Messaging
lxml,Python,Data Serialization
java.math.RoundingMode,Java,Mathematics and Numerics
flask_socketio,Python,Networking and Messaging
com.ibm.component.MenuItem,Java,Graphical User Interface Design
managers,Python,Utility Libraries
com.q1labs.semsources.sources.estreamer.exception.EstreamerEOFException,Java,Logging and Monitoring
org.apache.iceberg.PartitionField,Java,Data Serialization
../../constants/templatesActionTypes,TypeScript,Utility Libraries
tasks.dp.DPStatusTask,Java,Scheduling and Concurrency
org.springframework.web.context.WebApplicationContext,Java,Web Development
com.fasterxml.jackson.databind.node.MissingNode,Java,Data Serialization
java.lang.management.*,Java,Monitoring
com.udacity.jdnd.course3.critter.entity.Employee,Java,Data Serialization
com.ibm.eicore.std.dto.StandardStructureDto,Java,Data Serialization
../../src/adapters/UserInfoAdapter,TypeScript,Web Development
tasks.client.HTTPSClient,Java,Networking and Messaging
reselect,TypeScript,State Management
org.springframework.http.HttpStatus,Java,Web Development
macros::MemberLog,Perl,Logging and Monitoring
statsmodels,Python,Mathematics and Numerics
io.grpc.stub.StreamObserver,Java,Networking and Messaging
ibm_botocore,Python,Cloud SDK
org.springframework.test.annotation.DirtiesContext,Java,Testing
Test::More,Perl,Testing
javax.xml.stream.XMLInputFactory,Java,File Handling
io.openliberty.jpa.data.tests.models.Person,Java,Data Serialization
datatypes.annotations.velox.ConsumerOrg,Java,Data Serialization
com.ibm.eicore.boi.dto.BomExportFileDto,Java,Data Serialization
org.apache.axis2.client.ServiceClient,Java,Networking and Messaging
com.today.entity.User,Java,Data Serialization
com.yantra.yfc.dom.YFCDocument,Java,Data Serialization
com.ibm.services.tools.marketplace.wonderland.viewmodel.MessagesViewModel,Java,Web Development
org.springframework.test.context.junit4.SpringRunner,Java,Testing
./log-password-scanner.js,JavaScript,Security
componenttest.app.FATServlet,Java,Testing
com.ibm.services.tools.marketplace.model.dao.MyProfessionalsDAO,Java,Web Development
com.ibm.eicore.boi.dto.ItemDto,Java,Data Serialization
lodash,JavaScript,Utility Libraries
io.openliberty.jpa.data.tests.models.AsciiCharacter,Java,Data Serialization
codecs,Python,Data Serialization
supertest,TypeScript,Testing
org.springframework.boot.test.mock.mockito.MockBean,Java,Testing
br.com.bb.juridico.util.properties.TabelaDominiosProperties,Java,File Handling
com.ibm.tivoli.maximo.skd.service.SKDMAPInputParamInfo,Java,Scheduling and Concurrency
com.ibm.services.tools.marketplace.model.logic.SavedSearchLogicBean,Java,Web Development
org.springframework.expression.spel.standard.SpelExpressionParser,Java,Code Analysis and Linting
com.samsung.sec.dexter.eclipse.ui.view.DescriptionPanel,Java,Graphical User Interface Design
ibm_key_protect_api_v2,Python,Security
com.ibm.eicore.util.csv.CSVStreamingResponseBody,Java,File Handling
com.fasterxml.jackson.databind.DeserializationContext,Java,Data Serialization
std::process,Rust,Scheduling and Concurrency
graphite,Python,Monitoring
org.springframework.web.servlet.ModelAndView,Java,Web Development
chai-as-promised,JavaScript,Testing
io.openliberty.jpa.data.tests.models.Package,Java,Data Serialization
panos,Python,Networking and Messaging
io.openliberty.jpa.data.tests.models.Rebate,Java,Data Serialization
org.apache.arrow.vector.types.pojo.FieldType,Java,Data Serialization
xmlManagement.ExportFormat,Java,File Handling
langchain_pinecone,Python,Machine Learning
org.apache.axiom.om.OMFactory,Java,Data Serialization
@carbon/react,JavaScript,Graphical User Interface Design
org.testng.ITestResult,Java,Testing
javax.xml.soap.SOAPHeader,Java,Networking and Messaging
org.springframework.http.ResponseEntity,Java,Web Development
tasks.client.SSHClient,Java,Networking and Messaging
posixpath,Python,File Handling
intl,JavaScript,Internationalization
javax.annotation.Nonnull,Java,Code Analysis and Linting
DBD::ODBC,Perl,Database Management
datatypes.velox.objects.VeloxApplication,Java,Data Serialization
java.time.Duration,Java,Date and Time Handling
org.powermock.modules.junit4.PowerMockRunner,Java,Testing
sqlto.h,C++,File Handling
com.ibm.eicore.common.enums.ApplicationItemType,Java,Data Serialization
variant,C++,Algorithms and Data Structures
com.ibm.component.DropDownComponent,Java,Graphical User Interface Design
